"appsUsed","condition","date","endOfPhoneUse","startOfPhoneUse","subjectID"
"[]","A","27/03/2024","17:53:28","17:53:24","AM29"
"[com.whatsapp, com.android.chrome, com.samsung.android.honeyboard]","A","27/03/2024","18:29:23","18:23:55","AM29"
"[com.whatsapp, com.samsung.android.honeyboard, com.android.chrome]","A","27/03/2024","19:57:02","19:56:03","AM29"
"[com.whatsapp]","A","27/03/2024","20:53:17","20:52:14","AM29"
"[com.android.chrome, com.samsung.android.honeyboard, null]","A","27/03/2024","22:14:41","21:54:54","AM29"
"[com.whatsapp, com.samsung.android.honeyboard, com.android.chrome, com.google.android.apps.maps]","A","28/03/2024","19:06:14","18:53:23","AM29"
"[com.whatsapp, com.android.chrome, com.samsung.android.honeyboard, com.google.android.youtube, com.sec.android.app.clockpackage]","A","28/03/2024","20:22:19","20:20:14","AM29"
"[com.google.android.youtube, com.whatsapp, com.samsung.android.honeyboard]","A","28/03/2024","20:31:02","20:23:30","AM29"
"[com.google.android.youtube]","A","28/03/2024","20:34:24","20:32:17","AM29"
"[com.google.android.youtube]","A","28/03/2024","20:39:19","20:37:04","AM29"
"[com.google.android.youtube]","A","28/03/2024","21:07:13","21:07:08","AM29"
"[com.google.android.youtube, com.whatsapp, com.samsung.android.honeyboard]","A","28/03/2024","21:09:20","21:08:43","AM29"
"[com.whatsapp, com.samsung.android.honeyboard]","A","28/03/2024","21:23:26","21:22:47","AM29"
"[com.whatsapp, com.samsung.android.honeyboard, com.android.chrome, com.sec.android.daemonapp]","A","28/03/2024","23:36:44","23:34:41","AM29"
"[com.google.android.youtube]","A","28/03/2024","23:41:12","23:37:23","AM29"
