subjectID,sessionID,sessionDate,sessionStart,sessionEnd,sessionDuration,phubbsWhileSession,phubbs
CE17,,30/03/2024,16:19:22,16:22:42,0:03:20,0,[]
CE17,,30/03/2024,16:28:15,17:57:01,1:28:46,0,[]
CE17,,30/03/2024,18:10:20,19:24:37,1:14:17,2,"['0:02:14', '0:01:10']"
CE17,,30/03/2024,19:27:41,19:28:00,0:00:19,0,[]
CE17,,30/03/2024,19:45:58,20:21:07,0:35:09,2,"['0:00:14', '0:00:15']"
CE17,,30/03/2024,20:24:51,20:50:52,0:26:01,0,[]
CE17,,30/03/2024,20:54:01,21:00:48,0:06:47,0,[]
CE17,,30/03/2024,21:05:56,22:12:49,1:06:53,2,"['0:13:52', '0:01:17']"
CE17,,30/03/2024,22:16:09,23:04:47,0:48:38,0,[]
CE17,,30/03/2024,23:13:41,00:03:56,0:50:15,0,[]
CE17,,31/03/2024,00:04:34,00:19:53,0:15:19,0,[]
CE17,,31/03/2024,08:12:04,08:15:02,0:02:58,0,[]
CE17,,31/03/2024,09:50:31,10:19:57,0:29:26,0,[]
CE17,,31/03/2024,10:31:50,10:50:57,0:19:07,0,[]
CE17,,03/04/2024,17:44:46,17:45:14,0:00:28,0,[]
CE17,,03/04/2024,17:49:12,17:53:07,0:03:55,0,[]
CE17,,03/04/2024,18:02:54,18:24:40,0:21:46,1,['0:00:19']
CE17,,03/04/2024,19:21:05,19:24:12,0:03:07,0,[]
CE17,,03/04/2024,21:18:58,21:34:09,0:15:11,0,[]
CE17,,03/04/2024,21:49:55,21:55:22,0:05:27,0,[]
CE17,,03/04/2024,22:13:38,22:20:06,0:06:28,0,[]
CE17,,03/04/2024,22:25:00,22:35:48,0:10:48,0,[]
CE17,,03/04/2024,22:50:44,22:52:48,0:02:04,0,[]
CE17,,03/04/2024,23:03:21,23:09:26,0:06:05,0,[]
CE17,,03/04/2024,23:21:34,23:29:50,0:08:16,3,"['0:00:47', '0:01:40', '0:00:17']"
Ei31,,26/03/2024,09:49:32,10:44:52,0:55:20,6,"['0:00:09', '0:00:08', '0:01:27', '0:03:01', '0:00:47', '0:00:13']"
Ei31,,26/03/2024,10:52:39,11:10:04,0:17:25,1,['0:00:28']
Ei31,,26/03/2024,11:13:43,11:19:12,0:05:29,2,"['0:00:08', '0:00:27']"
Ei31,,26/03/2024,11:32:23,12:04:10,0:31:47,1,['0:00:38']
Ei31,,28/03/2024,21:42:52,22:01:26,0:18:34,0,[]
Ei31,,28/03/2024,22:05:23,23:53:20,1:47:57,2,"['0:01:53', '0:00:56']"
Ei31,,04/04/2024,09:06:21,09:30:40,0:24:19,1,['0:01:17']
Ei31,,04/04/2024,09:43:10,10:02:11,0:19:01,0,[]
Ei31,,04/04/2024,10:29:47,10:37:08,0:07:21,0,[]
Ei31,,04/04/2024,10:46:33,10:58:00,0:11:27,0,[]
Ei31,,04/04/2024,11:35:39,11:49:31,0:13:52,0,[]
Ei31,,04/04/2024,11:52:55,12:03:31,0:10:36,0,[]
Ei31,,04/04/2024,12:12:17,12:25:55,0:13:38,0,[]
Ei31,,04/04/2024,12:31:32,12:32:01,0:00:29,0,[]
Ei31,,04/04/2024,12:41:03,12:44:18,0:03:15,0,[]
Ei31,,04/04/2024,13:00:12,13:09:29,0:09:17,0,[]
Ei31,,04/04/2024,13:14:38,13:24:53,0:10:15,0,[]
Ei31,,04/04/2024,13:35:39,13:45:49,0:10:10,0,[]
Ei31,,04/04/2024,13:56:49,14:14:19,0:17:30,0,[]
Ei31,,04/04/2024,14:27:37,14:31:14,0:03:37,0,[]
Ei31,,04/04/2024,14:36:31,14:52:41,0:16:10,0,[]
Ei31,,04/04/2024,14:55:49,15:31:21,0:35:32,0,[]
HJ42,,25/03/2024,18:36:22,18:54:05,0:17:43,6,"['0:00:04', '0:00:40', '0:01:43', '0:00:10', '0:00:20', '0:01:18']"
HJ42,,25/03/2024,19:56:09,20:58:14,1:02:05,0,[]
HJ42,,05/04/2024,13:44:17,13:46:19,0:02:02,3,"['0:00:16', '0:00:35', '0:00:05']"
HJ42,,05/04/2024,14:16:31,14:18:59,0:02:28,0,[]
HO30,,08/04/2024,11:20:24,11:30:27,0:10:03,2,"['0:00:22', '0:00:11']"
HO30,,08/04/2024,11:34:02,11:43:06,0:09:04,2,"['0:00:48', '0:01:02']"
HO30,,08/04/2024,11:55:22,12:11:52,0:16:30,1,['0:01:52']
HO30,,08/04/2024,12:16:02,12:43:32,0:27:30,0,[]
HO30,,08/04/2024,12:51:04,13:19:07,0:28:03,1,['0:05:08']
HO30,,08/04/2024,13:26:54,13:57:23,0:30:29,0,[]
HO30,,08/04/2024,14:10:11,14:18:46,0:08:35,0,[]
HO30,,08/04/2024,17:47:55,17:52:34,0:04:39,1,['0:00:11']
HO30,,08/04/2024,17:59:26,18:01:09,0:01:43,0,[]
HO30,,09/04/2024,11:31:49,11:35:09,0:03:20,1,['0:00:12']
HO30,,11/04/2024,12:37:37,12:40:27,0:02:50,1,['0:00:09']
HO30,,17/04/2024,11:15:43,11:16:35,0:00:52,0,[]
HO30,,18/04/2024,11:30:59,11:34:50,0:03:51,0,[]
HO30,,18/04/2024,11:37:55,11:46:20,0:08:25,0,[]
HO30,,18/04/2024,11:50:39,11:51:26,0:00:47,0,[]
HO30,,18/04/2024,11:59:28,12:07:53,0:08:25,1,['0:00:52']
HO30,,18/04/2024,14:45:58,15:07:09,0:21:11,1,['0:00:31']
HO30,,19/04/2024,16:08:24,16:09:57,0:01:33,0,[]
HO30,,19/04/2024,16:14:38,16:20:12,0:05:34,0,[]
LJ16,,08/04/2024,11:20:03,11:30:00,0:09:57,1,['0:00:29']
LJ16,,08/04/2024,11:34:08,13:20:06,1:45:58,3,"['0:01:13', '0:00:10', '0:00:08']"
LJ16,,08/04/2024,13:26:28,14:12:56,0:46:28,0,[]
LJ16,,08/04/2024,17:48:11,18:01:16,0:13:05,4,"['0:00:39', '0:00:02', '0:00:09', '0:00:36']"
LJ16,,09/04/2024,11:29:50,11:33:14,0:03:24,0,[]
LJ16,,09/04/2024,12:27:48,12:30:39,0:02:51,0,[]
LJ16,,17/04/2024,11:15:13,11:16:39,0:01:26,0,[]
LJ16,,18/04/2024,11:30:37,11:35:34,0:04:57,0,[]
LJ16,,18/04/2024,11:47:17,11:48:40,0:01:23,0,[]
LJ16,,18/04/2024,11:56:31,12:05:15,0:08:44,0,[]
LJ16,,18/04/2024,14:45:43,15:01:18,0:15:35,0,[]
LJ16,,19/04/2024,16:08:32,16:10:25,0:01:53,0,[]
LJ16,,19/04/2024,16:15:01,16:22:25,0:07:24,0,[]
MN03,,26/03/2024,09:49:17,12:03:43,2:14:26,14,"['0:00:25', '0:00:08', '0:02:22', '0:00:38', '0:00:27', '0:01:07', '0:00:38', '0:00:16', '0:07:42', '0:00:05', '0:06:45', '0:02:31', '0:06:48', '0:05:24']"
MN03,,28/03/2024,21:35:20,23:55:28,2:20:08,1,['0:00:25']
MN03,,04/04/2024,09:06:13,09:32:21,0:26:08,2,"['0:06:09', '0:17:54']"
MN03,,04/04/2024,09:43:03,10:00:18,0:17:15,3,"['0:01:41', '0:00:04', '0:06:24']"
MN03,,04/04/2024,10:12:53,10:56:44,0:43:51,0,[]
MN03,,04/04/2024,11:02:10,11:02:37,0:00:27,0,[]
MN03,,04/04/2024,11:05:59,11:14:02,0:08:03,0,[]
MN03,,04/04/2024,11:17:17,11:19:10,0:01:53,0,[]
MN03,,04/04/2024,11:35:58,12:04:24,0:28:26,0,[]
MN03,,04/04/2024,12:08:56,12:34:09,0:25:13,0,[]
MN03,,04/04/2024,12:38:18,14:08:01,1:29:43,4,"['0:00:45', '0:00:16', '0:00:24', '0:29:08']"
MN03,,04/04/2024,14:11:28,14:30:04,0:18:36,1,['0:03:05']
MN03,,04/04/2024,14:33:59,15:21:34,0:47:35,2,"['0:02:37', '0:00:41']"
MV18,,08/04/2024,12:29:32,13:01:04,0:31:32,2,"['0:00:04', '0:00:03']"
MV18,,08/04/2024,13:06:04,13:16:28,0:10:24,0,[]
