dateEndOfInteraction,dateStartOfInteraction,endOfInteraction,startOfInteraction,subjectID,ID
03/04/2024,03/04/2024,23:29:50,23:21:34,CE17,
26/03/2024,26/03/2024,10:44:52,09:49:32,Ei31,
26/03/2024,26/03/2024,11:10:04,10:52:39,Ei31,
26/03/2024,26/03/2024,11:19:12,11:13:43,Ei31,
26/03/2024,26/03/2024,12:04:10,11:32:23,Ei31,
28/03/2024,28/03/2024,22:01:26,21:42:52,Ei31,
28/03/2024,28/03/2024,23:53:20,22:05:23,Ei31,
04/04/2024,04/04/2024,09:30:40,09:06:21,Ei31,
04/04/2024,04/04/2024,10:02:11,09:43:10,Ei31,
04/04/2024,04/04/2024,10:37:08,10:29:47,Ei31,
04/04/2024,04/04/2024,10:58:00,10:46:33,Ei31,
04/04/2024,04/04/2024,11:49:31,11:35:39,Ei31,
04/04/2024,04/04/2024,12:03:31,11:52:55,Ei31,
04/04/2024,04/04/2024,12:25:55,12:12:17,Ei31,
04/04/2024,04/04/2024,12:32:01,12:31:32,Ei31,
04/04/2024,04/04/2024,12:44:18,12:41:03,Ei31,
04/04/2024,04/04/2024,13:09:29,13:00:12,Ei31,
04/04/2024,04/04/2024,13:24:53,13:14:38,Ei31,
04/04/2024,04/04/2024,13:45:49,13:35:39,Ei31,
04/04/2024,04/04/2024,14:14:19,13:56:49,Ei31,
04/04/2024,04/04/2024,14:31:14,14:27:37,Ei31,
04/04/2024,04/04/2024,14:52:41,14:36:31,Ei31,
04/04/2024,04/04/2024,15:31:21,14:55:49,Ei31,
25/03/2024,25/03/2024,18:54:05,18:36:22,HJ42,
25/03/2024,25/03/2024,20:58:14,19:56:09,HJ42,
05/04/2024,05/04/2024,13:46:19,13:44:17,HJ42,
05/04/2024,05/04/2024,14:18:59,14:16:31,HJ42,
08/04/2024,08/04/2024,11:30:27,11:20:24,HO30,
08/04/2024,08/04/2024,11:43:06,11:34:02,HO30,
08/04/2024,08/04/2024,12:11:52,11:55:22,HO30,
08/04/2024,08/04/2024,12:43:32,12:16:02,HO30,
08/04/2024,08/04/2024,13:19:07,12:51:04,HO30,
08/04/2024,08/04/2024,13:57:23,13:26:54,HO30,
