subjectID,sm_value,kr
nf29,3.533333333333333,
uj20,2.933333333333333,
Ss26,2.6666666666666665,
AM29,2.066666666666667,
CE17,2.933333333333333,
HJ42,2.6,
hp21,3.2,
MV18,3.0,
HO30,3.2,
LJ16,3.2666666666666666,
mm01,3.1333333333333333,
sm07,1.2,
ej15,1.2,
Ei31,1.2666666666666666,
MN03,1.1333333333333333,
SS83,1.2666666666666666,
Mu06,3.2666666666666666,
mm02,2.466666666666667,
mt28,2.933333333333333,
rr16,3.466666666666667,
